Filename,Sorted,index
2016-02-15-19-03-55_S2.jpg,good,0
2016-03-06-19-03-54_S2.jpg,good,1
2016-03-26-18-57-04_S2.jpg,good,2
2016-04-05-19-03-46_S2.jpg,good,3
2016-04-15-19-03-49_S2.jpg,good,4
2016-05-05-19-04-04_S2.jpg,bad,5
2016-05-15-18-53-43_S2.jpg,good,6
2016-05-25-19-03-54_S2.jpg,bad,7
2016-06-14-19-03-51_S2.jpg,good,8
2016-06-24-19-02-10_S2.jpg,good,9
2016-08-13-19-03-52_S2.jpg,bad,10
2016-09-02-19-03-48_S2.jpg,bad,11
2016-09-22-19-03-44_S2.jpg,good,12
2016-10-02-19-02-32_S2.jpg,good,13
2016-10-22-18-54-48_S2.jpg,good,14
2016-11-01-19-03-46_S2.jpg,bad,15
2016-11-21-19-02-56_S2.jpg,bad,16
2016-12-01-19-04-00_S2.jpg,good,17
2016-12-21-19-03-42_S2.jpg,bad,18
2016-12-31-19-01-05_S2.jpg,bad,19
2017-03-01-19-03-42_S2.jpg,good,20
2017-03-11-18-59-39_S2.jpg,good,21
2017-04-10-19-03-47_S2.jpg,bad,22
2017-07-09-19-03-14_S2.jpg,bad,23
2018-12-01-15-33-12_L8.jpg,bad,24
2018-12-01-15-33-12_L8_2022-03-31__09_hr_48_min.jpg,good,25
2018-12-01-15-33-12_L8_2022-03-31__09_hr_49_min.jpg,bad,26
2018-12-01-15-33-12_L8_2022-03-31__09_hr_50_min.jpg,good,27
2018-12-01-15-33-12_L8_2022-03-31__09_hr_51_min.jpg,good,28
2018-12-01-15-41-39_S2.jpg,good,29
2018-12-01-15-41-39_S2_2022-03-31__09_hr_49_min.jpg,bad,30
2018-12-01-15-41-39_S2_2022-03-31__09_hr_50_min.jpg,good,31
2018-12-01-15-41-39_S2_2022-03-31__09_hr_51_min.jpg,good,32
2018-12-03-18-40-12_L8.jpg,bad,33
2018-12-03-18-54-34_S2.jpg,good,34
2018-12-04-15-51-35_S2.jpg,good,35
2018-12-04-15-51-35_S2_2022-03-31__09_hr_48_min.jpg,good,36
2018-12-04-15-51-35_S2_2022-03-31__09_hr_49_min.jpg,bad,37
2018-12-04-15-51-35_S2_2022-03-31__09_hr_50_min.jpg,good,38
2018-12-04-15-51-35_S2_2022-03-31__09_hr_51_min.jpg,bad,39
2018-12-04-15-53-13_S2.jpg,bad,40
2018-12-06-15-41-42_S2.jpg,good,41
2018-12-06-15-41-42_S2_2022-03-31__09_hr_49_min.jpg,bad,42
2018-12-06-15-41-42_S2_2022-03-31__09_hr_50_min.jpg,good,43
2018-12-06-15-41-42_S2_2022-03-31__09_hr_51_min.jpg,good,44
2018-12-06-19-04-29_S2.jpg,bad,45
2018-12-08-15-40-57_L8.jpg,bad,46
2018-12-08-15-40-57_L8_2022-03-31__09_hr_53_min.jpg,bad,47
2018-12-08-18-54-30_S2.jpg,good,48
2018-12-10-15-26-59_L8.jpg,bad,49
2018-12-10-15-26-59_L8_2022-03-31__09_hr_48_min.jpg,bad,50
2018-12-10-15-26-59_L8_2022-03-31__09_hr_49_min.jpg,good,51
2018-12-10-15-26-59_L8_2022-03-31__09_hr_50_min.jpg,good,52
2018-12-10-15-26-59_L8_2022-03-31__09_hr_51_min.jpg,good,53
2018-12-10-15-27-23_L8.jpg,good,54
2018-12-10-15-27-23_L8_2022-03-31__09_hr_48_min.jpg,good,55
2018-12-10-15-27-23_L8_2022-03-31__09_hr_49_min.jpg,bad,56
2018-12-10-18-46-21_L8.jpg,bad,57
2018-12-11-15-41-39_S2.jpg,good,58
2018-12-11-15-41-39_S2_2022-03-31__09_hr_49_min.jpg,bad,59
2018-12-11-15-41-39_S2_2022-03-31__09_hr_50_min.jpg,good,60
2018-12-11-15-41-39_S2_2022-03-31__09_hr_51_min.jpg,good,61
2018-12-11-18-36-07_L7.jpg,bad,62
2018-12-11-19-04-26_S2.jpg,good,63
2018-12-12-16-03-10_S2.jpg,good,64
2018-12-12-16-03-10_S2_2022-03-31__09_hr_53_min.jpg,good,65
2018-12-12-16-03-10_S2_2022-03-31__09_hr_54_min.jpg,bad,66
2018-12-13-18-24-29_L7.jpg,bad,67
2018-12-13-18-24-29_L7_2022-03-31__09_hr_01_min.jpg,bad,68
2018-12-13-18-24-29_L7_2022-03-31__09_hr_02_min.jpg,bad,69
2018-12-13-18-24-29_L7_2022-03-31__09_hr_13_min.jpg,good,70
2018-12-13-18-54-32_S2.jpg,good,71
2018-12-14-15-51-35_S2.jpg,bad,72
2018-12-14-15-51-35_S2_2022-03-31__09_hr_50_min.jpg,bad,73
2018-12-14-15-51-35_S2_2022-03-31__09_hr_51_min.jpg,bad,74
2018-12-15-18-44-54_S2.jpg,good,75
2018-12-15-18-44-54_S2_2022-03-31__09_hr_01_min.jpg,good,76
2018-12-15-18-44-54_S2_2022-03-31__09_hr_02_min.jpg,good,77
2018-12-15-18-44-54_S2_2022-03-31__09_hr_16_min.jpg,good,78
2018-12-16-15-36-45_L7.jpg,bad,79
2018-12-16-15-36-45_L7_2022-03-31__09_hr_53_min.jpg,bad,80
2018-12-16-15-36-45_L7_2022-03-31__09_hr_54_min.jpg,bad,81
2018-12-17-15-33-09_L8.jpg,bad,82
2018-12-17-15-33-09_L8_2022-03-31__09_hr_48_min.jpg,bad,83
2018-12-17-15-33-09_L8_2022-03-31__09_hr_49_min.jpg,bad,84
2018-12-17-15-33-09_L8_2022-03-31__09_hr_50_min.jpg,bad,85
2018-12-17-15-33-09_L8_2022-03-31__09_hr_51_min.jpg,good,86
2018-12-17-16-03-08_S2.jpg,good,87
2018-12-17-16-03-08_S2_2022-03-31__09_hr_53_min.jpg,good,88
2018-12-17-16-03-08_S2_2022-03-31__09_hr_54_min.jpg,good,89
2018-12-18-15-22-44_L7.jpg,bad,90
2018-12-18-15-22-44_L7_2022-03-31__09_hr_48_min.jpg,bad,91
2018-12-18-15-22-44_L7_2022-03-31__09_hr_49_min.jpg,bad,92
2018-12-18-15-22-44_L7_2022-03-31__09_hr_50_min.jpg,bad,93
2018-12-18-15-22-44_L7_2022-03-31__09_hr_51_min.jpg,bad,94
